industry,code,buy_date,sell_date,buy_price,sell_price,pct_reward
房地产开发,sz.000909.csv,2010-09-01,2010-09-03,11.87,12.93,0.08930075821398487
房地产开发,sh.600393.csv,2010-08-18,2010-08-23,7.28,7.98,0.09615384615384626
房地产开发,sh.600773.csv,2010-08-24,2010-08-31,11.29,13.18,0.1674047829937999
房地产开发,sh.600773.csv,2010-08-31,2010-09-01,13.18,14.5,0.10015174506828539
风电设备,sh.600416.csv,2011-09-28,2011-09-30,9.02,9.98,0.10643015521064303
风电设备,sh.601218.csv,2013-05-20,2013-05-23,9.52,10.3,0.08193277310924385
风电设备,sh.601218.csv,2015-10-21,2015-10-26,6.12,6.75,0.10294117647058831
工业金属,sh.600615.csv,2022-06-21,2022-06-27,6.99,7.58,0.0844062947067239
工业金属,sh.603527.csv,2022-06-17,2022-06-22,10.58,11.63,0.09924385633270338
工业金属,sh.603876.csv,2022-06-17,2022-06-20,38.15,41.29,0.08230668414154652
工业金属,sz.002540.csv,2022-06-17,2022-06-23,5.85,6.71,0.14700854700854715
贵金属,sz.000506.csv,2014-08-14,2014-08-22,4.84,5.56,0.14876033057851235
贵金属,sh.600988.csv,2014-08-11,2014-08-12,7.38,8.12,0.10027100271002709
贵金属,sz.000975.csv,2014-11-28,2014-12-04,13.46,14.74,0.09509658246656749
光学光电子,sz.002955.csv,2022-01-20,2022-01-27,20.75,22.47,0.08289156626506022
光学光电子,sz.002456.csv,2021-08-30,2021-09-07,7.29,8.04,0.10288065843621386
光伏设备,sh.600537.csv,2015-04-09,2015-04-10,18.64,20.5,0.09978540772532196
光伏设备,sz.002129.csv,2014-12-22,2014-12-25,19.58,21.31,0.08835546475995915
光伏设备,sz.002610.csv,2015-07-06,2015-07-14,9.81,10.79,0.09989806320081529
光伏设备,sz.002218.csv,2015-07-15,2015-07-17,9.3,10.48,0.1268817204301076
广告营销,sh.600358.csv,2010-08-25,2010-08-31,5.68,6.28,0.10563380281690149
广告营销,sz.002027.csv,2010-08-09,2010-08-10,6.03,6.63,0.09950248756218905
化学原料,sh.600319.csv,2012-04-06,2012-04-16,5.31,5.82,0.09604519774011311
化学原料,sz.000510.csv,2012-10-26,2012-10-30,4.78,5.44,0.13807531380753146
化学原料,sz.000990.csv,2012-04-10,2012-04-16,7.5,8.12,0.08266666666666667
化学原料,sz.002002.csv,2012-04-10,2012-04-12,7.44,8.2,0.10215053763440851
化学原料,sz.000818.csv,2013-01-09,2013-01-16,3.87,4.23,0.09302325581395365
化学原料,sh.600367.csv,2012-04-12,2012-04-19,14.48,15.95,0.10151933701657456
化学原料,sz.002136.csv,2013-02-26,2013-03-06,8.57,9.32,0.08751458576429405
化学制品,sh.600309.csv,2013-08-05,2013-08-12,15.95,17.53,0.09905956112852676
化学制品,sz.002360.csv,2013-08-20,2013-08-21,7.92,8.71,0.09974747474747492
化学纤维,sh.600889.csv,2012-02-24,2012-03-05,6.38,7.15,0.12068965517241392
化学纤维,sz.000420.csv,2014-06-27,2014-07-07,4.05,4.39,0.08395061728395059
化学纤维,sz.002254.csv,2012-02-20,2012-02-23,12.24,13.65,0.11519607843137258
化学纤维,sh.600063.csv,2014-06-30,2014-07-03,2.45,2.66,0.08571428571428563
黑色家电,sh.600839.csv,2011-03-15,2011-03-16,3.98,4.38,0.10050251256281406
黑色家电,sz.000016.csv,2011-03-15,2011-03-16,4.84,5.32,0.09917355371900838
黑色家电,sz.000801.csv,2011-03-14,2011-03-15,20.69,22.35,0.08023199613339771
互联网电商,sz.002315.csv,2015-02-03,2015-02-04,68.52,75.37,0.09997081144191489
互联网电商,sz.002280.csv,2016-01-12,2016-01-19,40.2,44.0,0.0945273631840795
互联网电商,sz.002280.csv,2016-02-17,2016-02-23,46.37,50.5,0.08906620659909437
互联网电商,sz.002127.csv,2014-07-17,2014-07-21,5.3,5.85,0.10377358490566024
互联网电商,sz.002640.csv,2014-07-17,2014-07-18,16.57,18.23,0.10018105009052514
航空装备,sz.000738.csv,2015-03-16,2015-03-19,19.69,21.32,0.08278313864906028
航空装备,sh.600862.csv,2015-03-17,2015-03-23,15.01,16.29,0.08527648234510332
航空装备,sh.600391.csv,2015-03-16,2015-03-18,31.49,35.3,0.12099079072721497
航空装备,sz.002625.csv,2015-03-26,2015-03-27,7.8,8.58,0.10000000000000009
航空装备,sz.002023.csv,2015-03-13,2015-03-17,26.57,29.94,0.12683477606322935
航空装备,sh.600765.csv,2015-03-16,2015-03-24,23.7,25.98,0.09620253164556969
航空装备,sz.002297.csv,2015-03-16,2015-03-20,15.0,17.08,0.1386666666666665
航空装备,sz.000697.csv,2015-03-17,2015-03-24,24.92,27.95,0.12158908507223098
航空装备,sh.600893.csv,2015-03-16,2015-03-18,32.71,35.86,0.09630082543564655
环保设备,sz.002645.csv,2012-04-05,2012-04-10,21.8,23.88,0.09541284403669725
环保设备,sz.002645.csv,2012-12-05,2012-12-07,12.28,13.28,0.08143322475570036
化妆品,sz.002243.csv,2009-09-09,2009-09-11,17.46,18.94,0.08476517754868262
化妆品,sz.002243.csv,2009-10-14,2009-10-15,9.94,10.93,0.0995975855130784
化妆品,sz.002243.csv,2010-10-25,2010-11-01,12.3,13.85,0.1260162601626016
IT服务,sh.600446.csv,2015-10-28,2015-10-29,37.19,40.91,0.10002688894864198
IT服务,sz.000158.csv,2015-12-17,2015-12-23,19.75,21.68,0.09772151898734172
IT服务,sz.000638.csv,2015-10-19,2015-10-23,12.9,14.1,0.09302325581395343
IT服务,sz.000555.csv,2015-10-20,2015-10-22,29.0,31.69,0.09275862068965512
IT服务,sh.600728.csv,2015-10-16,2015-10-21,27.68,30.06,0.0859826589595376
IT服务,sz.000938.csv,2015-10-26,2015-10-27,76.75,84.43,0.10006514657980459
IT服务,sh.600850.csv,2015-10-19,2015-10-23,44.07,47.86,0.08599954617653727
金属新材料,sh.600255.csv,2012-05-08,2012-05-15,7.3,8.35,0.14383561643835607
金属新材料,sz.000970.csv,2012-04-05,2012-04-13,27.67,30.13,0.08890495121069741
金属新材料,sh.600980.csv,2012-05-07,2012-05-11,15.27,16.54,0.0831696136214799
金属新材料,sh.600980.csv,2015-03-16,2015-03-23,18.77,20.59,0.09696323921150785
家电零部件,sz.002290.csv,2013-01-24,2013-01-28,9.27,10.17,0.09708737864077666
家居用品,sh.603389.csv,2017-02-20,2017-02-21,23.45,25.53,0.08869936034115145
家居用品,sz.002615.csv,2019-06-20,2019-06-26,5.29,5.72,0.08128544423440442
家居用品,sz.002615.csv,2020-02-04,2020-02-12,4.55,4.96,0.09010989010989023
家居用品,sz.002615.csv,2020-02-04,2020-02-12,4.55,4.96,0.09010989010989023
酒店餐饮,sh.600754.csv,2009-04-10,2009-04-17,14.4,15.6,0.08333333333333326
酒店餐饮,sz.000428.csv,2009-11-24,2009-12-02,8.48,9.21,0.08608490566037741
基础建设,sz.002061.csv,2018-11-01,2018-11-07,8.76,9.62,0.09817351598173518
基础建设,sz.002061.csv,2019-02-12,2019-02-20,8.25,9.16,0.11030303030303035
基础建设,sz.002717.csv,2020-04-28,2020-05-06,4.08,4.42,0.08333333333333326
基础建设,sz.002307.csv,2018-03-23,2018-03-30,9.77,10.58,0.08290685772773809
基础建设,sh.603316.csv,2018-03-23,2018-03-29,11.29,12.26,0.08591674047829945
基础建设,sh.603316.csv,2018-11-01,2018-11-05,7.74,8.43,0.08914728682170536
基础建设,sz.002200.csv,2018-11-05,2018-11-12,6.01,6.5,0.08153078202995001
军工电子,sz.002189.csv,2010-12-09,2010-12-17,14.59,15.77,0.08087731322823855
军工电子,sz.002214.csv,2011-06-13,2011-06-21,40.35,44.0,0.09045848822800484
军工电子,sz.002214.csv,2013-02-26,2013-02-28,16.55,18.62,0.12507552870090644
军工电子,sz.000547.csv,2011-10-12,2011-10-13,5.55,6.01,0.08288288288288292
军工电子,sz.000547.csv,2014-09-22,2014-09-23,6.57,7.23,0.10045662100456632
军工电子,sz.000547.csv,2015-03-17,2015-03-20,19.9,21.95,0.10301507537688437
军工电子,sz.000547.csv,2015-06-11,2015-06-15,32.79,36.96,0.12717291857273572
军工电子,sz.002446.csv,2010-12-13,2010-12-16,23.54,25.62,0.08836023789294822
计算机设备,sz.002177.csv,2013-11-15,2013-11-18,5.47,6.02,0.10054844606946989
计算机设备,sz.002152.csv,2013-11-13,2013-11-21,13.66,14.9,0.0907759882869692
计算机设备,sh.600855.csv,2013-11-14,2013-11-15,12.5,13.75,0.10000000000000009
计算机设备,sh.600855.csv,2015-05-12,2015-05-18,34.06,38.85,0.14063417498531994
焦炭,sh.600725.csv,2015-04-21,2015-04-22,5.52,6.07,0.0996376811594204
焦炭,sh.600725.csv,2015-04-21,2015-04-22,5.52,6.07,0.0996376811594204
焦炭,sz.000723.csv,2015-04-03,2015-04-10,9.87,10.78,0.09219858156028371
林业,sz.000663.csv,2016-03-17,2016-03-21,11.64,12.58,0.0807560137457044
林业,sz.000592.csv,2016-03-17,2016-03-21,12.83,14.16,0.10366328916601719
旅游及景区,sh.603099.csv,2015-02-06,2015-02-16,14.23,15.46,0.08643710470836274
旅游及景区,sh.600138.csv,2015-03-23,2015-03-25,22.43,24.94,0.11190370040124842
旅游及景区,sh.600706.csv,2014-12-09,2014-12-11,15.22,16.61,0.09132720105124825
炼化及贸易,sh.600256.csv,2013-02-22,2013-03-01,17.98,19.5,0.0845383759733036
炼化及贸易,sz.002476.csv,2011-08-24,2011-08-25,16.14,17.75,0.09975216852540258
炼化及贸易,sz.000637.csv,2012-04-09,2012-04-17,4.69,5.19,0.10660980810234544
炼化及贸易,sz.002408.csv,2013-02-04,2013-02-07,16.92,18.47,0.09160756501182021
摩托车及其他,sh.600679.csv,2011-07-04,2011-07-08,10.78,11.67,0.0825602968460113
摩托车及其他,sh.600818.csv,2015-04-01,2015-04-09,29.59,32.16,0.08685366677931716
贸易,sh.601028.csv,2013-01-31,2013-02-04,8.93,9.71,0.08734602463605845
农业综合,sz.002556.csv,2012-02-02,2012-02-06,15.0,16.52,0.10133333333333328
其他家电,sz.002614.csv,2012-03-14,2012-03-22,32.3,35.29,0.09256965944272455
其他电源设备,sz.002665.csv,2014-09-16,2014-09-19,41.96,46.01,0.09652049571020016
其他电源设备,sz.002364.csv,2014-09-17,2014-09-19,20.61,22.4,0.0868510431829208
其他电源设备,sz.002364.csv,2015-01-09,2015-01-16,17.97,19.71,0.09682804674457435
其他电源设备,sz.002364.csv,2015-04-17,2015-04-22,49.06,54.31,0.10701182225845907
其他电源设备,sz.002534.csv,2014-09-16,2014-09-19,14.04,15.63,0.11324786324786329
软件开发,sz.002261.csv,2013-06-14,2013-06-18,11.19,12.69,0.13404825737265424
软件开发,sz.002405.csv,2013-06-06,2013-06-14,13.62,14.87,0.09177679882525691
软件开发,sz.002439.csv,2013-06-13,2013-06-18,16.88,18.25,0.08116113744075837
软件开发,sz.002439.csv,2015-04-20,2015-04-21,45.51,50.06,0.09997802680729517
软件开发,sz.002212.csv,2014-10-23,2014-10-28,7.48,8.46,0.13101604278074874
软件开发,sh.600602.csv,2014-03-20,2014-03-21,6.03,6.55,0.08623548922056368
软件开发,sh.600588.csv,2014-03-17,2014-03-19,20.09,21.89,0.08959681433549038
软件开发,sz.000948.csv,2014-03-17,2014-03-18,9.36,10.3,0.10042735042735051
软件开发,sz.002153.csv,2014-10-20,2014-10-28,72.88,79.06,0.0847969264544457
软件开发,sz.002153.csv,2015-04-20,2015-04-22,106.0,116.03,0.094622641509434
软件开发,sz.002153.csv,2016-05-03,2016-05-05,84.98,94.82,0.11579195104730511
软件开发,sz.002230.csv,2017-10-30,2017-11-02,52.3,56.8,0.08604206500956013
软件开发,sz.002279.csv,2014-03-17,2014-03-24,14.74,17.31,0.17435549525101757
软件开发,sz.002253.csv,2014-10-23,2014-10-29,31.37,35.3,0.1252789289129741
饲料,sz.002100.csv,2020-04-14,2020-04-22,13.77,15.76,0.1445170660856936
饲料,sz.002548.csv,2020-04-20,2020-04-23,10.09,11.08,0.09811694747274524
饲料,sz.002385.csv,2020-04-14,2020-04-22,8.23,9.14,0.11057108140947758
饲料,sh.603609.csv,2020-04-16,2020-04-22,13.58,15.49,0.14064801178203234
塑料,sh.600135.csv,2013-08-09,2013-08-16,8.07,9.14,0.13258983890954146
商用车,sh.600166.csv,2009-04-29,2009-05-06,12.08,13.21,0.0935430463576159
食品加工,sh.600381.csv,2012-07-27,2012-08-01,4.04,4.46,0.10396039603960405
饰品,sz.000017.csv,2016-01-26,2016-02-03,10.31,11.18,0.08438409311348205
饰品,sz.000017.csv,2016-02-17,2016-02-18,13.51,14.86,0.09992598075499637
饰品,sh.600612.csv,2015-12-14,2015-12-22,41.9,45.89,0.09522673031026252
饰品,sh.600612.csv,2016-02-04,2016-02-15,39.48,43.23,0.09498480243161089
水泥,sh.600668.csv,2013-03-04,2013-03-12,9.44,10.25,0.08580508474576276
水泥,sz.002302.csv,2012-11-02,2012-11-09,12.07,13.31,0.10273405136702563
水泥,sh.600724.csv,2012-12-25,2012-12-28,6.65,7.19,0.08120300751879705
水泥,sh.600678.csv,2012-12-26,2012-12-31,4.86,5.45,0.12139917695473246
数字媒体,sh.603000.csv,2021-02-18,2021-02-19,17.5,19.25,0.10000000000000009
数字媒体,sh.603888.csv,2021-12-09,2021-12-15,18.17,20.82,0.1458447991194276
数字媒体,sz.000681.csv,2020-06-15,2020-06-16,19.0,20.9,0.09999999999999987
数字媒体,sz.002095.csv,2021-02-18,2021-02-22,12.56,13.77,0.09633757961783429
特钢,sz.002075.csv,2014-02-20,2014-02-26,3.67,3.97,0.08174386920980936
特钢,sz.000708.csv,2013-01-09,2013-01-15,7.45,8.2,0.10067114093959728
铁路公路,sz.000828.csv,2013-09-09,2013-09-16,4.68,5.29,0.13034188034188032
铁路公路,sz.000828.csv,2014-09-02,2014-09-05,5.16,5.78,0.12015503875968991
体育,sh.600158.csv,2010-02-23,2010-02-25,11.3,12.44,0.10088495575221224
体育,sh.600158.csv,2010-02-23,2010-02-25,11.3,12.44,0.10088495575221224
通用设备,sz.002598.csv,2015-04-27,2015-04-28,10.02,11.02,0.09980039920159678
通用设备,sh.603699.csv,2015-04-17,2015-04-27,24.2,26.14,0.08016528925619837
通用设备,sh.600421.csv,2015-04-17,2015-04-24,14.11,16.26,0.15237420269312563
通用设备,sz.002639.csv,2015-04-20,2015-04-22,28.68,32.2,0.12273361227336133
通用设备,sz.002639.csv,2015-12-15,2015-12-16,9.5,10.45,0.09999999999999987
通用设备,sz.001696.csv,2015-04-24,2015-04-27,19.93,21.92,0.0998494731560462
通用设备,sz.000039.csv,2016-11-08,2016-11-15,14.05,16.46,0.17153024911032033
通用设备,sh.600783.csv,2015-04-20,2015-04-21,37.0,40.27,0.08837837837837847
通用设备,sh.600783.csv,2015-12-04,2015-12-07,42.34,46.57,0.09990552668871033
通用设备,sz.002175.csv,2015-12-09,2015-12-16,59.32,65.58,0.10552933243425477
通用设备,sz.002175.csv,2016-11-21,2016-11-22,19.04,20.94,0.09978991596638664
通用设备,sz.000410.csv,2015-04-17,2015-04-20,20.55,22.61,0.10024330900243306
通用设备,sz.002158.csv,2015-04-20,2015-04-23,23.99,26.0,0.0837849103793249
通用设备,sh.600343.csv,2015-04-17,2015-04-27,22.99,25.09,0.09134406263592876
通用设备,sz.000837.csv,2015-04-15,2015-04-23,13.54,14.91,0.10118168389955695
通用设备,sh.600992.csv,2016-11-25,2016-11-30,16.25,18.01,0.10830769230769244
通用设备,sz.000595.csv,2015-12-23,2015-12-24,12.4,13.64,0.10000000000000009
通用设备,sh.603308.csv,2015-04-15,2015-04-16,25.65,28.22,0.10019493177387906
通用设备,sh.603308.csv,2015-12-07,2015-12-14,25.32,28.15,0.1117693522906793
通用设备,sz.002150.csv,2015-04-20,2015-04-27,13.25,14.43,0.08905660377358493
通用设备,sz.002150.csv,2015-12-28,2015-12-29,9.53,10.48,0.09968520461699915
通用设备,sz.002347.csv,2015-04-20,2015-04-28,17.48,19.2,0.09839816933638446
通用设备,sh.600202.csv,2015-04-15,2015-04-17,10.52,11.58,0.10076045627376429
通用设备,sh.600202.csv,2015-12-08,2015-12-10,11.83,13.01,0.0997464074387151
通用设备,sz.002445.csv,2018-10-22,2018-10-23,2.46,2.71,0.10162601626016254
通用设备,sz.002445.csv,2019-04-10,2019-04-18,2.63,2.91,0.10646387832699622
通用设备,sz.002444.csv,2015-04-15,2015-04-21,17.6,20.05,0.13920454545454541
通用设备,sz.002444.csv,2015-12-14,2015-12-17,17.54,18.97,0.081527936145952
通信服务,sz.000839.csv,2011-08-08,2011-08-15,9.29,10.62,0.14316469321851466
通信服务,sz.002123.csv,2011-05-26,2011-06-03,20.39,22.28,0.09269249632172638
通信服务,sz.002093.csv,2011-07-20,2011-07-27,14.44,16.47,0.1405817174515236
通信设备,sz.000070.csv,2011-08-29,2011-08-31,10.05,10.99,0.09353233830845764
物流,sh.600180.csv,2013-02-19,2013-02-22,8.97,9.89,0.10256410256410264
物流,sz.002183.csv,2013-01-21,2013-01-24,4.8,5.21,0.0854166666666667
物流,sz.002120.csv,2013-02-26,2013-02-27,8.97,9.87,0.10033444816053505
小金属,sz.002149.csv,2019-02-12,2019-02-20,6.13,7.23,0.17944535073409473
小金属,sz.002428.csv,2019-02-12,2019-02-20,5.64,6.4,0.13475177304964547
小金属,sh.600459.csv,2019-01-11,2019-01-21,13.29,14.83,0.11587659894657643
消费电子,sh.600130.csv,2014-01-22,2014-01-24,3.75,4.08,0.08800000000000008
消费电子,sz.002660.csv,2012-09-06,2012-09-12,19.83,21.82,0.10035300050428653
渔业,sz.002069.csv,2010-09-28,2010-10-08,42.9,46.56,0.08531468531468533
养殖业,sz.002714.csv,2017-08-01,2017-08-08,27.5,32.12,0.16799999999999993
养殖业,sz.002124.csv,2016-03-21,2016-03-28,25.1,27.28,0.08685258964143427
元件,sz.002288.csv,2012-03-02,2012-03-09,16.74,18.54,0.10752688172043023
元件,sz.000823.csv,2012-03-01,2012-03-05,11.34,12.35,0.08906525573192248
元件,sz.002579.csv,2012-03-12,2012-03-19,14.82,17.05,0.15047233468286092
元件,sz.002436.csv,2012-03-05,2012-03-12,18.5,20.07,0.08486486486486489
医药商业,sh.600511.csv,2016-08-04,2016-08-05,30.16,32.61,0.08123342175066317
医疗器械,sh.600645.csv,2015-11-09,2015-11-13,57.05,61.84,0.08396143733567052
医疗器械,sh.600587.csv,2015-11-04,2015-11-05,35.98,39.58,0.10005558643690948
医疗器械,sz.002022.csv,2015-11-04,2015-11-10,27.15,29.39,0.08250460405156534
医疗器械,sz.002382.csv,2016-12-12,2016-12-16,11.68,12.89,0.10359589041095907
医疗器械,sz.002551.csv,2015-11-05,2015-11-09,27.62,30.12,0.09051412020275174
医疗器械,sz.002223.csv,2016-01-27,2016-02-02,26.15,28.56,0.0921606118546845
医疗器械,sh.603309.csv,2015-11-09,2015-11-12,40.68,46.01,0.13102261553588979
医疗器械,sz.002030.csv,2015-11-04,2015-11-11,45.27,49.06,0.08371990280538988
医疗服务,sh.600721.csv,2009-04-30,2009-05-05,6.67,7.35,0.10194902548725637
医疗服务,sz.000516.csv,2009-04-10,2009-04-16,9.87,10.74,0.08814589665653516
医疗服务,sz.002172.csv,2009-04-15,2009-04-20,7.86,8.78,0.11704834605597947
