,cut_loss,target_profit,win_rate,ave_interest_rate,turn_over
0,0.0,0.1,0.1844106463878327,0.018441064638783273,528
1,0.0,0.15,0.15619047619047619,0.023428571428571427,528
2,0.0,0.2,0.13523809523809524,0.02704761904761905,528
3,0.0,0.25,0.12571428571428572,0.03142857142857143,528
4,0.0,0.3,0.1180952380952381,0.03542857142857143,528
5,0.0,0.35,0.11047619047619048,0.03866666666666666,528
6,0.0,0.4,0.09714285714285714,0.03885714285714286,528
7,0.0,0.45,0.08571428571428572,0.03857142857142857,528
8,0.0,0.5,0.07824427480916031,0.039122137404580155,528
9,0.0,0.55,0.07633587786259542,0.04198473282442748,528
10,0.0,0.6,0.07633587786259542,0.04580152671755725,528
11,0.0,0.65,0.06870229007633588,0.044656488549618324,528
12,0.0,0.7,0.05916030534351145,0.04141221374045801,528
13,0.0,0.75,0.05725190839694656,0.042938931297709926,528
14,0.0,0.8,0.04961832061068702,0.03969465648854962,528
15,0.0,0.85,0.04770992366412214,0.040553435114503815,528
16,0.0,0.9,0.04580152671755725,0.04122137404580153,528
17,0.0,0.95,0.03816793893129771,0.03625954198473282,528
18,-0.01,0.1,0.21482889733840305,0.013631178707224335,528
19,-0.01,0.15,0.17714285714285713,0.01834285714285714,528
20,-0.01,0.2,0.15047619047619049,0.0216,528
21,-0.01,0.25,0.13714285714285715,0.025657142857142854,528
22,-0.01,0.3,0.1295238095238095,0.030152380952380948,528
23,-0.01,0.35,0.12,0.03319999999999999,528
24,-0.01,0.4,0.10666666666666667,0.03373333333333334,528
25,-0.01,0.45,0.09333333333333334,0.03293333333333333,528
26,-0.01,0.5,0.08587786259541985,0.033797709923664127,528
27,-0.01,0.55,0.08206106870229007,0.03595419847328245,528
28,-0.01,0.6,0.08206106870229007,0.04005725190839695,528
29,-0.01,0.65,0.07442748091603053,0.039122137404580155,528
30,-0.01,0.7,0.0648854961832061,0.03606870229007633,528
31,-0.01,0.75,0.06297709923664122,0.03786259541984733,528
32,-0.01,0.8,0.05534351145038168,0.03482824427480917,528
33,-0.01,0.85,0.05152671755725191,0.03431297709923664,528
34,-0.01,0.9,0.04961832061068702,0.035152671755725194,528
35,-0.01,0.95,0.04198473282442748,0.03030534351145038,528
36,-0.02,0.1,0.26476190476190475,0.011771428571428573,528
37,-0.02,0.15,0.22137404580152673,0.01763358778625954,528
38,-0.02,0.2,0.1851145038167939,0.02072519083969466,528
39,-0.02,0.25,0.16793893129770993,0.02534351145038168,528
40,-0.02,0.3,0.15458015267175573,0.029465648854961835,528
41,-0.02,0.35,0.1450381679389313,0.03366412213740457,528
42,-0.02,0.4,0.12786259541984732,0.03370229007633588,528
43,-0.02,0.45,0.10687022900763359,0.030229007633587785,528
44,-0.02,0.5,0.0994263862332696,0.031701720841300185,528
